// Desert Crisis Texture Types.  Modify this file only if texture names are changed!
// FINISHED REVENANT. NOTE: only the first 12 characters of the texture name are used
//CONCRETE	'C'			// texture types
//METAL		'M'
//DIRT		'D'
//VENT		'V'
//GRATE		'G'
//TILE		'T'
//SLOSH		'S'
//WOOD		'W'
//COMPUTER	'P'
//GLASS		'Y'
//FLESH		'F'
//PAVEMENT	'A'
//ROCK		'R'
//LOOSEROCK	'O'
//GRAVEL	'E'
//SNOW		'N'
//ICE		'I'
//LEAVES	'L'
//MUD		'U'
//DRYWALL	'H'
//CARPET	'J'
//BRICKS	'K'
//SAND		'Q'
//CLOTH		'X'
//GRASS		'Z'
//NO EFFECTs	'B'

B BLACK
S LPWATAH

U N_DRYMUD

N DC_SNOW01
N DC_SNOWRUBBLE01
N DC_SNOWRUBBLE02

R DC_SROCK1
R DC_SROCK2
R DC_ROCK05
R DC_ROCK05A
R DC_STONE05
R DC_STONE21SNOW
R DC_STONESNOW1A
R DC_STONESNOW1B
R COLUMN
R COLUMN1
R FRESCO
R MOSIAC_FLOOR
R MOSIAC_LG
R MOSIAC_SM
R SANDYWALL2
R STONE_DESIGN
R DC_SROCK1
R DC_SROCK2
R DC_ROCK01
R DC_ROCK02
R DC_ROCK03
R DC_ROCK04
R DC_ROCK05
R DC_ROCK05A
R DC_ROCK05B
R DC_ROCK06
R DC_ROCK07
R DC_SNOWROCK01
R DC_SNOWROCK02
R DC_SNOWROCK03
R DC_SNOWROCK04
R DC_STONE01
R DC_STONE01A
R DC_STONE03
R DC_STONE04
R DC_STONE05
R DC_STONE06
R DC_STONE07
R DC_STONE08
R DC_STONE09
R DC_STONE10
R DC_STONE11
R DC_STONE12
R DC_STONE13
R DC_STONE14
R DC_STONE15
R DC_STONE16
R DC_STONE17
R DC_STONE18
R DC_STONE19
R DC_STONE20
R DC_STONE21
R DC_STONE22
R DC_STONE23
R DC_STONE24
R DC_STONE25
R DC_STONE26
R DC_STONE27
R DC_STONE28
R DC_STONE29
R DC_STONE30
R PENTA1
R PENTA2
R SCH2
R STONE1
R STONE2
R STONE3
R STONE4
R STONE5
R STONE6
R STONE7
R STONE8
R DC_ROCKY
R CLS_WALLTOP
R FT_EXT_WALL1
R FT_EXT_WALL2
R M_CHIPRCKWINDOW
R M_CHIPROCK
R M_GRASSROCK
R M_KHWALL1
R M_KHWALL2
R M_KHWALL3
R M_MOSSTONE1
R M_MOSSTONE2
R M_ROCKSTUCKO
R M_STONE1
R M_STONE2
R M_STONE3
R M_CLIFF2
R N_ROCKWALL
R P_CLIFF
R P_CLIFFBEACH
R ROCKY34
R CRAKED1

A PL_RW
A PL_RW_3
A DC_ASPHALT01
A DC_ASPHALT02
A DC_ASPHALT02A
A DC_ASPHALT03
A ROAD1
A ROAD2
A ROAD
A ROAD_YLINE


C DC_OFFICE2
C DC_OFFICE3
C DC_OFFICE1
C AAATRIGGER
C BABTECH_DR4C
C DC_CEMFLR01
C DC_CEMWALL01
C DC_CEMWALL01B
C DC_CEMWALL02
C DC_CEMWALL03
C DC_CEMWALL04
C DC_CEMWALL05
C DC_CEMWALL06
C DC_CEMWALL07
C DC_CEMWALL08
C DC_CEMWALL09
C DC_CEMWALL10
C DC_CEMWALL11
C DC_CIEL01
C DC_CONCRETE01
C DC_CONCRETE02
C DC_CONCRETE03
C DC_CONCRETE04
C DC_SANDWALL01
C DC_SANDWALL02
C DC_SANDWALL03
C DC_SANDWALL04
C DC_SANDWALL05
C DC_STEPS01
C DC_STEPS02
C DC_WALL07
C CONCRETE1
C CONCRETE2
C CONCRETE3
C PILLAR1
C PISS
C SCH1
C SCH17
C SCH18
C SCH20
C SCH21
C SCH22
C SCH23
C SCH3
C FLOOR_CONCRETE
C FLOOR_DIRTY
C WALL_CONCRETE
C BURNTCONCRETE
C M_CONCRETE2
C M_CONCRETE3
C M_CONCRETE4
C M_CONCRETE5
C M_CONCRETE6
C M_CONCRETE7
C M_CONCRETEPAINT
C M_BUNKCRETE

Y DC_SER
Y DC SER_2
Y DC_SER_3

L DC_TREES01
L OUT_NET1B
L DC_TREE10
L DC_TREE14
L DC_HEDGE01
L DC_HEDGE02
L DC_HEDGE03
L DC_TREES01
L DC_TREES02
L DC_TREES03
L DC_GRASS01
L DC_GRASS01B
L DC_GRASS02
L DC_GRASS03
L DC_GRASS04
L DC_GRASS05
L DRYGRASS1
L DRYGRASS2
L LEAVES1
L LEAVES2
L LEAVES3
L DC_DRYGRASS
L DC_LEAVES
L DC_LEAVESWET
L DC_MOUNTAINMOSS
L DC_MTN1
L DC_ROCKGRASS
L DC_VINES
L DC_VINEWALL
L {N_CORN

V DUCT_FLR01
V DUCT_FLR01A
V DUCT_FLR02A
V DUCT_VNT
V DUCT_VNT2
V DUCT_WALL01
V DUCT_WALL02
V DUCT_WALL03
V DUCT_WALL04
V SILO2_COR

D OUT_GRVL1
D OUT_GRVL2
D OUT_GRVL2B
D OUT_GRVL3
D OUT_MUD1
D DC_DIRT02
D DC_DIRTRR02
D DC_DIRTFOLIAGE
D DC_DIRTRR01
D DC_DIRTRR02

D SCH19

//D OUT_RK1
//D OUT_RK2
//D OUT_RK3
//D OUT_RK4
D OUT_SND1
D OUT_SND2
D OUT_SND2B
D OUT_SND2C
D OUT_WLK
